CV,localidad,estrato,property_type,y,pred,error,abs_error,pct_error
Localidad,USAQUEN,6,Casa,330000000,1255085056,925085056,925085056,2.8032880484848484
NorEste Holdout,CANDELARIA,2,Casa,1650000000,727819712,-922180288,922180288,0.5588971442424242
NorEste Holdout,SUBA,3,Casa,1565000000,648998016,-916001984,916001984,0.5853047821086262
NorEste Holdout,PUENTE ARANDA,3,Casa,1450000000,535132288,-914867712,914867712,0.6309432496551725
NorEste Holdout,BARRIOS UNIDOS,3,Apartamento,1590000000,700930048,-889069952,889069952,0.5591634918238994
NorEste Holdout,FONTIBON,4,Apartamento,1600000000,713098816,-886901184,886901184,0.55431324
NorEste Holdout,ENGATIVA,3,Apartamento,1490000000,609703936,-880296064,880296064,0.5908027275167785
NorEste Holdout,FONTIBON,3,Casa,1400000000,522578304,-877421696,877421696,0.6267297828571429
NorEste Holdout,FONTIBON,3,Apartamento,1470000000,592751936,-877248064,877248064,0.5967673904761904
Localidad,SUBA,5,Apartamento,1550000000,673031744,-876968256,876968256,0.5657859716129032
NorEste Holdout,USAQUEN,5,Casa,450000000,1325147008,875147008,875147008,1.944771128888889
NorEste Holdout,BARRIOS UNIDOS,3,Casa,1600000000,728044672,-871955328,871955328,0.54497208
NorEste Holdout,SUBA,5,Apartamento,1550000000,681742848,-868257152,868257152,0.560165904516129
Localidad,BARRIOS UNIDOS,3,Casa,1460000000,596723776,-863276224,863276224,0.5912850849315069
NorEste Holdout,SUBA,2,Casa,1450000000,598951808,-851048192,851048192,0.5869297875862068
NorEste Holdout,KENNEDY,3,Casa,1500000000,650340544,-849659456,849659456,0.5664396373333334
Localidad,SUBA,3,Casa,1565000000,715570944,-849429056,849429056,0.5427661699680512
NorEste Holdout,ENGATIVA,3,Casa,1300000000,454700192,-845299808,845299808,0.6502306215384616
NorEste Holdout,RAFAEL URIBE URIBE,3,Casa,1500000000,656746304,-843253696,843253696,0.5621691306666666
Localidad,SUBA,5,Casa,695000000,1535565696,840565696,840565696,1.2094470446043166
NorEste Holdout,USAQUEN,6,Apartamento,1650000000,819963136,-830036864,830036864,0.5030526448484849
NorEste Holdout,SUBA,5,Apartamento,1190000000,364934592,-825065408,825065408,0.6933322756302521
Localidad,ENGATIVA,3,Apartamento,1490000000,672117440,-817882560,817882560,0.5489144697986578
NorEste Holdout,ENGATIVA,3,Apartamento,1170000000,352961120,-817038880,817038880,0.698323829059829
NorEste Holdout,ANTONIO NARIÑO,3,Casa,1250000000,437805888,-812194112,812194112,0.6497552896
NorEste Holdout,USAQUEN,5,Casa,498000000,1309603072,811603072,811603072,1.6297250441767068
NorEste Holdout,SANTA FE,2,Apartamento,1500000000,692751552,-807248448,807248448,0.538165632
NorEste Holdout,BARRIOS UNIDOS,3,Casa,1650000000,847698176,-802301824,802301824,0.4862435296969697
NorEste Holdout,USAQUEN,6,Apartamento,1600000000,798681856,-801318144,801318144,0.50082384
NorEste Holdout,USAQUEN,5,Apartamento,1580000000,783376128,-796623872,796623872,0.5041923240506329
NorEste Holdout,USAQUEN,5,Apartamento,1480000000,684220416,-795779584,795779584,0.5376889081081081
NorEste Holdout,TEUSAQUILLO,4,Casa,360000000,1154119680,794119680,794119680,2.205888
Random CV,BARRIOS UNIDOS,3,Apartamento,1364309020,578452608,-785856412,785856412,0.5760105668728922
NorEste Holdout,USAQUEN,5,Casa,550000000,1334235392,784235392,784235392,1.425882530909091
UPZ,BARRIOS UNIDOS,3,Apartamento,1364309020,585472768,-778836252,778836252,0.5708649877576856
NorEste Holdout,TEUSAQUILLO,0,Casa,340000000,1117681920,777681920,777681920,2.287299764705882
NorEste Holdout,USAQUEN,5,Casa,498000000,1271496832,773496832,773496832,1.5532064899598395
NorEste Holdout,CHAPINERO,6,Apartamento,1600000000,828138048,-771861952,771861952,0.48241372
NorEste Holdout,SUBA,5,Casa,1600000000,830367808,-769632192,769632192,0.48102012
Localidad,USAQUEN,6,Apartamento,1600000000,835103168,-764896832,764896832,0.47806052
NorEste Holdout,TEUSAQUILLO,0,Casa,380000000,1143395840,763395840,763395840,2.0089364210526317
NorEste Holdout,SANTA FE,4,Apartamento,1250000000,487335936,-762664064,762664064,0.6101312512
Localidad,CANDELARIA,2,Casa,1650000000,889530944,-760469056,760469056,0.46089033696969695
NorEste Holdout,USAQUEN,3,Apartamento,1250000000,490800000,-759200000,759200000,0.60736
NorEste Holdout,BARRIOS UNIDOS,3,Casa,340000000,1098955008,758955008,758955008,2.232220611764706
NorEste Holdout,USAQUEN,4,Apartamento,1650000000,893778496,-756221504,756221504,0.45831606303030303
Localidad,SANTA FE,4,Apartamento,1250000000,498578816,-751421184,751421184,0.6011369472
Localidad,BARRIOS UNIDOS,3,Apartamento,1364309020,615941504,-748367516,748367516,0.5485322643399367
NorEste Holdout,CHAPINERO,5,Apartamento,1450000000,702135360,-747864640,747864640,0.5157687172413793
Localidad,ANTONIO NARIÑO,3,Casa,1250000000,502953472,-747046528,747046528,0.5976372224
NorEste Holdout,ANTONIO NARIÑO,3,Casa,1200000000,458141088,-741858912,741858912,0.61821576
NorEste Holdout,USAQUEN,6,Casa,330000000,1071117248,741117248,741117248,2.2458098424242423
NorEste Holdout,BARRIOS UNIDOS,4,Apartamento,1300000000,558971264,-741028736,741028736,0.5700221046153846
NorEste Holdout,SUBA,5,Apartamento,1450000000,710404160,-739595840,739595840,0.5100660965517242
NorEste Holdout,TEUSAQUILLO,0,Casa,350000000,1088310400,738310400,738310400,2.1094582857142856
Localidad,USAQUEN,5,Apartamento,700000000,1437961728,737961728,737961728,1.05423104
NorEste Holdout,ENGATIVA,3,Apartamento,1480000000,742164160,-737835840,737835840,0.4985377297297297
NorEste Holdout,SUBA,5,Apartamento,1450000000,714353472,-735646528,735646528,0.5073424331034483
Localidad,USAQUEN,5,Casa,1600000000,864735872,-735264128,735264128,0.45954008
Localidad,USAQUEN,6,Apartamento,1400000000,667665280,-732334720,732334720,0.5230962285714286
NorEste Holdout,CANDELARIA,3,Apartamento,1300000000,567876480,-732123520,732123520,0.5631719384615385
NorEste Holdout,LOS MARTIRES,3,Apartamento,1550000000,817987072,-732012928,732012928,0.4722664051612903
Localidad,ENGATIVA,3,Casa,1500000000,770670016,-729329984,729329984,0.4862199893333333
Localidad,USAQUEN,5,Casa,450000000,1179273088,729273088,729273088,1.6206068622222223
NorEste Holdout,FONTIBON,4,Casa,1500000000,771761600,-728238400,728238400,0.48549226666666667
NorEste Holdout,FONTIBON,4,Casa,1500000000,771761600,-728238400,728238400,0.48549226666666667
NorEste Holdout,FONTIBON,4,Casa,1500000000,771761600,-728238400,728238400,0.48549226666666667
Localidad,KENNEDY,3,Casa,1200000000,473015040,-726984960,726984960,0.6058208
NorEste Holdout,USAQUEN,5,Casa,1600000000,873790912,-726209088,726209088,0.45388068
NorEste Holdout,BARRIOS UNIDOS,3,Apartamento,1364309020,639261248,-725047772,725047772,0.53143955025673
NorEste Holdout,USAQUEN,6,Apartamento,1550000000,825247040,-724752960,724752960,0.4675825548387097
Random CV,USAQUEN,5,Apartamento,1649900000,925229184,-724670816,724670816,0.4392210533971756
NorEste Holdout,SUBA,5,Apartamento,1450000000,726958400,-723041600,723041600,0.4986493793103448
NorEste Holdout,USAQUEN,5,Apartamento,1490000000,774967744,-715032256,715032256,0.4798874201342282
NorEste Holdout,FONTIBON,0,Casa,1450000000,735448512,-714551488,714551488,0.49279412965517244
Localidad,SUBA,5,Apartamento,1190000000,477191488,-712808512,712808512,0.5989987495798319
NorEste Holdout,SUBA,3,Apartamento,1315585500,604444032,-711141468,711141468,0.5405513119443777
